cliente_id;regiao;canal_aquisicao;data_cadastro
1;Sul;Organico;2025-05-09
2;Sudeste;Organico;2024-11-13
3;Nordeste;Indicacao;2024-10-29
4;Sul;Organico;2024-11-04
5;Sudeste;Marketing Pago;2024-08-28
6;Sul;Redes Sociais;2026-07-20
7;Sul;Organico;2026-03-27
8;Sudeste;Indicacao;2025-01-11
9;Nordeste;Marketing Pago;2025-01-07
10;Sudeste;Indicacao;2024-11-13
11;Sudeste;Organico;2025-07-19
12;Sul;Indicacao;2025-11-14
13;Sul;Email Marketing;2025-08-23
14;Sudeste;Organico;2026-05-06
15;Sul;Indicacao;2026-03-15
16;Sudeste;Organico;2026-06-09
17;Sudeste;Organico;2024-10-21
18;Centro-Oeste;Indicacao;2025-08-25
19;Sudeste;Redes Sociais;2025-08-09
20;Sudeste;Marketing Pago;2026-06-18
21;Sudeste;Email Marketing;2026-05-26
22;Sudeste;Redes Sociais;2026-01-29
23;Nordeste;Organico;2025-08-24
24;Sudeste;Email Marketing;2026-07-06
25;Sul;Redes Sociais;2024-09-27
26;Sudeste;Organico;2025-06-20
27;Sudeste;Organico;2026-03-04
28;Centro-Oeste;Marketing Pago;2026-06-03
29;Sul;Indicacao;2026-05-21
30;Sul;Organico;2025-04-10
31;Nordeste;Marketing Pago;2026-03-22
32;Sudeste;Redes Sociais;2025-08-06
33;Sudeste;Email Marketing;2026-01-04
34;Sul;Indicacao;2024-11-21
35;Sudeste;Organico;2026-06-28
36;Sudeste;Organico;2025-08-26
37;Sul;Marketing Pago;2025-04-15
38;Norte;Indicacao;2024-08-12
39;Nordeste;Organico;2026-02-01
40;Nordeste;Indicacao;2025-07-15
41;Sudeste;Marketing Pago;2025-11-08
42;Sudeste;Redes Sociais;2025-04-27
43;Norte;Indicacao;2026-01-02
44;Centro-Oeste;Indicacao;2025-06-02
45;Nordeste;Marketing Pago;2025-02-20
46;Sudeste;Indicacao;2026-02-04
47;Norte;Email Marketing;2024-08-01
48;Sul;Marketing Pago;2024-11-23
49;Centro-Oeste;Indicacao;2025-06-11
50;Sudeste;Organico;2026-03-04
51;Centro-Oeste;Organico;2025-12-11
52;Nordeste;Email Marketing;2026-01-28
53;Nordeste;Organico;2025-11-30
54;Centro-Oeste;Organico;2026-01-23
55;Centro-Oeste;Marketing Pago;2025-03-05
56;Centro-Oeste;Indicacao;2026-07-08
57;Sudeste;Marketing Pago;2026-06-19
58;Sul;Marketing Pago;2026-01-12
59;Sul;Organico;2024-10-05
60;Sudeste;Redes Sociais;2025-03-24
61;Sul;Organico;2026-07-26
62;Sul;Organico;2024-09-02
63;Centro-Oeste;Organico;2025-04-01
64;Sudeste;Marketing Pago;2026-02-04
65;Sudeste;Email Marketing;2026-03-08
66;Sul;Organico;2025-11-28
67;Nordeste;Organico;2024-11-08
68;Nordeste;Marketing Pago;2025-09-25
69;Sul;Redes Sociais;2026-06-21
70;Nordeste;Redes Sociais;2024-10-02
71;Sudeste;Marketing Pago;2024-11-20
72;Sudeste;Organico;2025-11-03
73;Sudeste;Organico;2025-11-17
74;Sudeste;Email Marketing;2025-10-28
75;Nordeste;Indicacao;2024-11-09
76;Sudeste;Email Marketing;2024-08-16
77;Norte;Email Marketing;2025-03-31
78;Sudeste;Marketing Pago;2025-03-07
79;Centro-Oeste;Email Marketing;2025-01-16
80;Sudeste;Email Marketing;2025-04-29
81;Centro-Oeste;Indicacao;2025-05-20
82;Sudeste;Email Marketing;2026-02-21
83;Nordeste;Marketing Pago;2025-02-11
84;Sudeste;Email Marketing;2026-03-17
85;Nordeste;Organico;2025-06-18
86;Sudeste;Redes Sociais;2025-12-28
87;Centro-Oeste;Marketing Pago;2024-09-28
88;Norte;Organico;2025-02-07
89;Sudeste;Organico;2025-03-29
90;Sudeste;Email Marketing;2026-03-07
91;Sudeste;Redes Sociais;2026-04-27
92;Sudeste;Redes Sociais;2026-03-02
93;Sul;Email Marketing;2025-02-26
94;Nordeste;Marketing Pago;2025-04-29
95;Sudeste;Redes Sociais;2025-06-04
96;Sul;Email Marketing;2024-10-14
97;Sudeste;Redes Sociais;2026-02-28
98;Norte;Organico;2025-03-07
99;Sul;Organico;2025-07-24
100;Centro-Oeste;Indicacao;2025-08-14
101;Sudeste;Marketing Pago;2026-02-08
102;Nordeste;Redes Sociais;2026-06-01
103;Sul;Redes Sociais;2026-02-19
104;Sudeste;Redes Sociais;2024-12-16
105;Sudeste;Indicacao;2026-02-18
106;Sudeste;Organico;2025-03-04
107;Nordeste;Organico;2026-05-12
108;Centro-Oeste;Marketing Pago;2025-04-15
109;Centro-Oeste;Indicacao;2024-11-03
110;Sul;Indicacao;2024-09-15
111;Sudeste;Indicacao;2026-05-15
112;Norte;Organico;2025-10-27
113;Sul;Marketing Pago;2024-08-10
114;Sudeste;Email Marketing;2026-07-09
115;Centro-Oeste;Marketing Pago;2025-08-14
116;Sul;Organico;2024-12-09
117;Sudeste;Marketing Pago;2024-09-10
118;Centro-Oeste;Organico;2025-04-13
119;Nordeste;Marketing Pago;2026-02-25
120;Centro-Oeste;Marketing Pago;2026-04-28
121;Nordeste;Email Marketing;2025-03-31
122;Centro-Oeste;Email Marketing;2025-01-29
123;Centro-Oeste;Organico;2025-07-07
124;Nordeste;Marketing Pago;2026-06-17
125;Centro-Oeste;Indicacao;2025-05-01
126;Sudeste;Redes Sociais;2025-08-27
127;Centro-Oeste;Indicacao;2025-03-16
128;Sudeste;Email Marketing;2025-07-25
129;Sudeste;Indicacao;2025-03-22
130;Sudeste;Redes Sociais;2025-09-13
131;Sudeste;Indicacao;2025-05-13
132;Sudeste;Marketing Pago;2026-06-27
133;Norte;Marketing Pago;2024-08-29
134;Sudeste;Email Marketing;2025-01-30
135;Sul;Email Marketing;2024-09-09
136;Sudeste;Marketing Pago;2025-06-18
137;Sudeste;Email Marketing;2024-11-27
138;Sudeste;Redes Sociais;2025-04-18
139;Sudeste;Marketing Pago;2026-01-15
140;Centro-Oeste;Marketing Pago;2026-06-18
141;Sudeste;Marketing Pago;2026-06-12
142;Centro-Oeste;Redes Sociais;2026-06-11
143;Nordeste;Redes Sociais;2025-06-04
144;Sul;Redes Sociais;2025-07-01
145;Sudeste;Organico;2024-12-09
146;Sudeste;Redes Sociais;2025-08-24
147;Nordeste;Email Marketing;2026-04-23
148;Sul;Marketing Pago;2024-08-01
149;Sudeste;Organico;2026-03-17
150;Sul;Marketing Pago;2025-10-27
151;Sudeste;Organico;2025-11-28
152;Nordeste;Email Marketing;2025-01-21
153;Nordeste;Organico;2026-06-11
154;Sul;Marketing Pago;2025-03-29
155;Nordeste;Organico;2025-02-20
156;Sudeste;Organico;2025-11-30
157;Sul;Indicacao;2025-11-10
158;Sudeste;Redes Sociais;2025-02-16
159;Nordeste;Marketing Pago;2025-09-14
160;Sudeste;Redes Sociais;2024-08-06
161;Centro-Oeste;Indicacao;2024-11-18
162;Nordeste;Organico;2026-07-14
163;Sul;Organico;2025-04-13
164;Centro-Oeste;Organico;2024-12-15
165;Nordeste;Redes Sociais;2026-02-24
166;Sul;Email Marketing;2025-10-28
167;Sul;Redes Sociais;2025-12-30
168;Sudeste;Email Marketing;2025-10-31
169;Centro-Oeste;Redes Sociais;2025-11-30
170;Sul;Indicacao;2026-05-15
171;Sudeste;Indicacao;2025-12-10
172;Sul;Organico;2024-10-19
173;Nordeste;Organico;2025-07-10
174;Sudeste;Marketing Pago;2024-12-20
175;Sudeste;Marketing Pago;2025-01-04
176;Nordeste;Organico;2025-09-22
177;Sudeste;Marketing Pago;2024-10-03
178;Sudeste;Marketing Pago;2026-03-22
179;Centro-Oeste;Organico;2026-03-13
180;Sudeste;Organico;2025-07-27
181;Sudeste;Marketing Pago;2025-10-04
182;Sul;Redes Sociais;2026-04-10
183;Centro-Oeste;Marketing Pago;2025-05-07
184;Sudeste;Organico;2025-07-11
185;Nordeste;Indicacao;2025-01-17
186;Nordeste;Email Marketing;2026-04-30
187;Sul;Email Marketing;2026-03-30
188;Sul;Organico;2026-05-21
189;Sudeste;Indicacao;2025-02-03
190;Sudeste;Marketing Pago;2025-03-05
191;Sul;Marketing Pago;2025-08-24
192;Sudeste;Email Marketing;2025-10-06
193;Sudeste;Organico;2024-08-20
194;Nordeste;Organico;2025-07-25
195;Sudeste;Organico;2026-05-30
196;Sudeste;Organico;2025-04-11
197;Sudeste;Organico;2025-01-04
198;Sudeste;Marketing Pago;2024-11-26
199;Sul;Organico;2026-07-18
200;Sudeste;Marketing Pago;2026-04-13
201;Sul;Redes Sociais;2024-11-26
202;Nordeste;Organico;2025-06-15
203;Sudeste;Organico;2025-06-16
204;Sul;Email Marketing;2025-08-20
205;Sudeste;Redes Sociais;2024-10-17
206;Sul;Indicacao;2025-04-06
207;Sudeste;Indicacao;2026-07-02
208;Sul;Organico;2026-03-03
209;Nordeste;Marketing Pago;2025-10-13
210;Nordeste;Organico;2026-05-26
211;Sudeste;Indicacao;2025-12-15
212;Sudeste;Email Marketing;2026-05-13
213;Centro-Oeste;Marketing Pago;2025-01-04
214;Sudeste;Redes Sociais;2026-05-29
215;Sudeste;Indicacao;2026-02-03
216;Nordeste;Marketing Pago;2026-03-30
217;Sudeste;Indicacao;2024-10-28
218;Sudeste;Marketing Pago;2025-11-19
219;Sul;Redes Sociais;2025-07-11
220;Sudeste;Indicacao;2025-02-03
221;Sul;Marketing Pago;2025-04-22
222;Sudeste;Indicacao;2026-07-20
223;Centro-Oeste;Redes Sociais;2026-01-12
224;Centro-Oeste;Organico;2025-09-21
225;Sul;Indicacao;2026-07-09
226;Sul;Redes Sociais;2025-11-02
227;Nordeste;Organico;2025-03-15
228;Sudeste;Organico;2026-06-11
229;Sul;Marketing Pago;2026-01-26
230;Sudeste;Email Marketing;2026-02-15
231;Sudeste;Redes Sociais;2025-05-05
232;Sudeste;Organico;2025-02-14
233;Sudeste;Redes Sociais;2026-07-08
234;Sudeste;Organico;2025-12-09
235;Sudeste;Redes Sociais;2026-01-20
236;Sul;Email Marketing;2025-02-15
237;Sudeste;Marketing Pago;2025-06-06
238;Sudeste;Marketing Pago;2025-05-08
239;Sudeste;Organico;2025-05-27
