pedido_id;cliente_id;data_pedido;forma_pagamento;status_entrega;valor_total
1;41;2025-10-22;Cartao de Credito;Entregue;116.06
2;342;2024-10-31;Cartao de Credito;Cancelado;166.36
3;182;2024-12-24;Pix;Entregue;69.12
4;442;2026-04-04;Pix;Entregue;107.54
5;1592;2025-05-03;Pix;Entregue;64.88
6;567;2025-09-21;Pix;Entregue com Atraso;141.12
7;786;2026-02-20;Pix;Entregue;97.77
8;857;2026-04-05;Cartao de Credito;Entregue;330.43
9;388;2025-12-30;Cartao de Debito;Entregue;94.81
10;1767;2025-07-16;Cartao de Credito;Cancelado;66.48
11;5;2025-12-01;Cartao de Credito;Entregue;255.66
12;1331;2026-02-03;Cartao de Credito;Em Transito;70.98
13;1741;2025-08-21;Boleto;Entregue;43.44
14;226;2025-08-15;Cartao de Debito;Entregue;153.48
15;1257;2025-02-13;Cartao de Credito;Entregue;117.25
16;1731;2024-09-07;Cartao de Credito;Em Transito;89.35
17;1034;2025-12-19;Cartao de Credito;Entregue;127.45
18;416;2026-01-18;Pix;Entregue;177.58
19;1689;2024-09-23;Boleto;Entregue;189.35
20;513;2025-10-05;Pix;Entregue;104.68
21;47;2025-03-20;Cartao de Debito;Entregue;50.66
22;119;2026-05-03;Cartao de Credito;Entregue;178.01
23;1460;2026-01-15;Boleto;Cancelado;215.46
24;1602;2026-07-12;Cartao de Credito;Entregue;196.63
25;429;2026-04-06;Boleto;Entregue;112.56
26;1206;2024-08-27;Pix;Entregue;183.76
27;1075;2025-02-15;Cartao de Debito;Entregue;185.46
28;80;2024-12-09;Cartao de Credito;Entregue;242.19
29;1212;2024-09-28;Cartao de Credito;Entregue com Atraso;43.02
30;126;2025-02-10;Pix;Entregue;369.61
31;1229;2025-11-21;Pix;Entregue;166.69
32;57;2024-11-26;Cartao de Credito;Entregue;128.07
33;400;2025-04-26;Pix;Entregue;127.92
34;1211;2025-08-24;Pix;Em Transito;77.95
35;1434;2026-06-08;Cartao de Credito;Entregue;185.68
36;686;2025-08-19;Cartao de Credito;Entregue;213.27
37;266;2025-04-11;Cartao de Credito;Entregue com Atraso;127.52
38;914;2026-05-23;Boleto;Entregue;71.77
39;841;2026-03-19;Pix;Em Transito;194.03
40;570;2025-08-22;Pix;Em Transito;20.03
41;543;2026-01-14;Cartao de Credito;Entregue;118.06
42;588;2025-08-27;Cartao de Credito;Entregue;65.67
43;1505;2026-01-08;Pix;Entregue;15.0
44;65;2025-02-22;Cartao de Credito;Entregue;306.34
45;505;2026-07-24;Pix;Entregue;782.98
46;748;2026-03-17;Boleto;Entregue;202.25
47;429;2026-03-25;Boleto;Entregue com Atraso;265.9
48;1233;2025-03-03;Pix;Entregue com Atraso;44.38
49;1691;2024-08-10;Pix;Entregue;14.25
50;741;2026-07-09;Pix;Entregue;21.1
51;1752;2025-07-05;Pix;Entregue com Atraso;315.99
52;172;2024-11-15;Pix;Entregue;362.47
53;129;2024-09-28;Cartao de Credito;Entregue;69.98
54;200;2026-02-01;Pix;Entregue com Atraso;196.1
55;386;2025-10-17;Boleto;Entregue;136.09
56;904;2026-07-03;Pix;Entregue;491.5
57;1240;2026-07-30;Boleto;Entregue;130.66
58;1033;2025-09-07;Pix;Entregue;204.07
59;226;2025-08-13;Cartao de Credito;Entregue;223.02
60;826;2025-07-18;Pix;Entregue com Atraso;18.07
61;245;2026-06-18;Pix;Entregue;21.15
62;814;2025-11-26;Boleto;Entregue com Atraso;80.78
63;226;2025-09-05;Cartao de Credito;Entregue;34.49
64;395;2024-09-05;Boleto;Entregue;63.04
65;1154;2026-06-07;Boleto;Entregue;35.02
66;682;2025-02-23;Cartao de Debito;Entregue;47.45
67;30;2025-02-13;Pix;Entregue;151.57
68;966;2025-10-13;Cartao de Credito;Entregue;54.29
69;22;2025-03-06;Pix;Entregue;85.85
70;1262;2026-03-06;Cartao de Credito;Cancelado;112.7
71;325;2026-07-06;Cartao de Credito;Entregue com Atraso;181.42
72;428;2026-03-25;Pix;Entregue;144.18
73;1290;2025-04-07;Pix;Entregue;55.68
74;1156;2025-04-01;Cartao de Debito;Entregue;531.6
75;1511;2025-07-06;Cartao de Credito;Entregue;42.91
76;1229;2025-03-16;Pix;Entregue;36.53
77;880;2025-02-14;Cartao de Credito;Cancelado;168.34
78;786;2026-04-13;Cartao de Credito;Entregue;16.93
79;854;2025-08-04;Cartao de Credito;Entregue;49.07
80;282;2025-12-07;Cartao de Credito;Entregue;184.98
81;523;2026-02-27;Pix;Entregue;52.05
82;7;2025-12-26;Pix;Entregue;72.91
83;672;2025-12-15;Cartao de Credito;Cancelado;43.97
84;699;2026-03-03;Cartao de Credito;Entregue com Atraso;125.77
85;845;2025-08-06;Pix;Entregue;253.73
86;1090;2026-06-10;Boleto;Entregue;694.66
87;305;2025-10-12;Cartao de Credito;Entregue;300.43
88;1311;2026-07-17;Cartao de Credito;Cancelado;96.32
89;350;2024-12-16;Cartao de Credito;Entregue;242.26
90;1123;2026-05-14;Cartao de Credito;Entregue;48.55
91;432;2025-12-10;Pix;Entregue;42.75
92;1394;2024-09-12;Cartao de Credito;Entregue;46.43
93;490;2025-12-11;Pix;Entregue;32.73
94;583;2025-04-03;Cartao de Debito;Entregue;38.25
