produto_id;categoria;preco_unitario
1;Brinquedos;21.32
2;Eletronicos;19.02
3;Esporte e Lazer;80.78
4;Casa e Decoracao;32.8
5;Eletronicos;38.13
6;Moda;65.87
7;Casa e Decoracao;35.02
8;Eletronicos;15.0
9;Beleza;20.64
10;Casa e Decoracao;65.67
11;Moda;106.71
12;Moda;47.45
13;Casa e Decoracao;33.04
14;Casa e Decoracao;193.43
15;Casa e Decoracao;24.29
16;Eletronicos;37.34
17;Pet Shop;30.02
18;Casa e Decoracao;44.38
19;Eletronicos;62.12
20;Beleza;58.07
21;Brinquedos;35.69
22;Eletronicos;18.71
23;Beleza;57.15
24;Eletronicos;219.58
25;Esporte e Lazer;33.59
26;Moda;38.24
27;Esporte e Lazer;77.95
28;Casa e Decoracao;35.73
29;Esporte e Lazer;15.0
30;Moda;15.0
31;Moda;67.64
32;Brinquedos;50.66
33;Eletronicos;41.22
34;Esporte e Lazer;21.33
35;Esporte e Lazer;34.49
36;Pet Shop;48.55
37;Pet Shop;24.99
38;Beleza;55.68
39;Beleza;36.63
40;Beleza;15.0
41;Esporte e Lazer;22.53
42;Eletronicos;18.28
43;Brinquedos;110.19
44;Eletronicos;84.44
45;Livros;156.28
46;Pet Shop;163.24
47;Pet Shop;16.67
48;Livros;32.73
49;Eletronicos;93.55
50;Livros;48.76
51;Livros;153.28
52;Brinquedos;25.88
53;Esporte e Lazer;70.97
54;Eletronicos;30.38
55;Beleza;15.0
56;Esporte e Lazer;23.85
57;Moda;36.53
58;Beleza;140.81
59;Eletronicos;19.9
60;Pet Shop;94.95
61;Livros;61.23
62;Eletronicos;35.91
63;Moda;91.09
64;Moda;15.0
65;Moda;49.07
66;Esporte e Lazer;58.63
67;Beleza;23.19
68;Livros;160.88
69;Esporte e Lazer;21.21
70;Eletronicos;222.92
71;Moda;22.26
72;Livros;134.56
73;Casa e Decoracao;15.0
74;Livros;47.75
75;Eletronicos;38.89
76;Moda;36.72
77;Brinquedos;15.0
78;Pet Shop;58.04
79;Beleza;121.36
80;Moda;42.06
81;Pet Shop;18.14
82;Pet Shop;18.81
83;Casa e Decoracao;191.61
84;Livros;25.67
85;Livros;41.5
86;Pet Shop;15.0
87;Casa e Decoracao;26.68
88;Casa e Decoracao;45.63
89;Moda;20.76
90;Esporte e Lazer;48.64
91;Brinquedos;26.21
92;Casa e Decoracao;146.56
93;Livros;15.0
94;Brinquedos;97.26
95;Livros;48.91
96;Moda;161.23
97;Pet Shop;15.0
98;Livros;72.09
99;Casa e Decoracao;27.15
100;Moda;90.89
101;Brinquedos;21.1
102;Eletronicos;23.54
103;Esporte e Lazer;29.89
104;Beleza;15.0
105;Esporte e Lazer;63.54
106;Casa e Decoracao;34.56
107;Livros;77.52
108;Brinquedos;54.95
109;Pet Shop;15.0
110;Livros;83.15
111;Casa e Decoracao;43.1
112;Casa e Decoracao;15.0
113;Brinquedos;63.36
114;Brinquedos;51.73
115;Livros;21.41
116;Eletronicos;98.05
117;Beleza;69.98
118;Livros;42.91
119;Pet Shop;94.67
120;Esporte e Lazer;42.15
