item_id;pedido_id;produto_id;quantidade;desconto_pct;subtotal
1;1;49;1;20;74.84
2;1;33;1;0;41.22
3;2;8;3;0;45.0
4;2;79;1;0;121.36
5;3;106;2;0;69.12
6;4;50;1;0;48.76
7;4;15;1;0;24.29
8;4;35;1;0;34.49
9;5;98;1;10;64.88
10;6;101;1;20;16.88
11;6;19;2;0;124.24
12;7;107;1;20;62.02
13;7;80;1;15;35.75
14;8;108;1;0;54.95
15;8;81;1;0;18.14
16;8;28;1;5;33.94
17;8;75;2;5;73.89
18;8;66;3;15;149.51
19;9;44;1;10;76.0
20;9;82;1;0;18.81
21;10;117;1;5;66.48
22;11;72;2;5;255.66
23;12;69;2;10;38.18
24;12;4;1;0;32.8
25;13;99;2;20;43.44
26;14;3;2;5;153.48
27;15;92;1;20;117.25
28;16;27;1;10;70.16
29;16;1;1;10;19.19
30;17;87;1;0;26.68
31;17;88;1;0;45.63
32;17;78;1;5;55.14
33;18;3;1;0;80.78
34;18;89;1;0;20.76
35;18;87;3;5;76.04
36;19;53;1;0;70.97
37;19;36;1;10;43.7
38;19;16;2;0;74.68
39;20;43;1;5;104.68
40;21;32;1;0;50.66
41;22;76;3;10;99.14
42;22;103;1;0;29.89
43;22;81;3;10;48.98
44;23;80;1;0;42.06
45;23;57;1;20;29.22
46;23;98;2;0;144.18
47;24;57;1;0;36.53
48;24;8;1;5;14.25
49;24;39;1;0;36.63
50;24;79;1;10;109.22
51;25;60;1;5;90.2
52;25;102;1;5;22.36
53;26;14;1;5;183.76
54;27;46;1;5;155.08
55;27;54;1;0;30.38
56;28;97;2;10;27.0
57;28;46;1;0;163.24
58;28;40;1;0;15.0
59;28;75;1;5;36.95
60;29;7;1;20;28.02
61;29;55;1;0;15.0
62;30;77;1;0;15.0
63;30;89;1;0;20.76
64;30;43;1;15;93.66
65;30;110;2;0;166.3
66;30;75;2;5;73.89
67;31;105;1;0;63.54
68;31;43;1;20;88.15
69;31;104;1;0;15.0
70;32;117;1;20;55.98
71;32;98;1;0;72.09
72;33;23;1;10;51.44
73;33;26;2;0;76.48
74;34;27;1;0;77.95
75;35;80;2;0;84.12
76;35;113;1;15;53.86
77;35;56;2;0;47.7
78;36;118;2;5;81.53
79;36;6;2;0;131.74
80;37;109;2;0;30.0
81;37;66;1;0;58.63
82;37;75;1;0;38.89
83;38;23;1;0;57.15
84;38;42;1;20;14.62
85;39;5;1;0;38.13
86;39;27;2;0;155.9
87;40;71;1;10;20.03
88;41;80;1;0;42.06
89;41;44;1;10;76.0
90;42;10;1;0;65.67
91;43;30;1;0;15.0
92;44;96;2;5;306.34
93;45;92;2;0;293.12
94;45;95;1;10;44.02
95;45;70;2;0;445.84
96;46;98;2;0;144.18
97;46;20;1;0;58.07
98;47;60;2;0;189.9
99;47;44;1;10;76.0
100;48;18;1;0;44.38
101;49;29;1;5;14.25
102;50;101;1;0;21.1
103;51;74;1;0;47.75
104;51;111;1;0;43.1
105;51;51;1;5;145.62
106;51;49;1;15;79.52
107;52;78;1;0;58.04
108;52;63;3;0;273.27
109;52;4;1;5;31.16
110;53;117;1;0;69.98
111;54;116;2;0;196.1
112;55;74;3;5;136.09
113;56;58;2;0;281.62
114;56;9;2;15;35.09
115;56;106;1;5;32.83
116;56;52;1;0;25.88
117;56;78;2;0;116.08
118;57;109;1;15;12.75
119;57;23;1;0;57.15
120;57;54;2;0;60.76
121;58;21;1;5;33.91
122;58;36;1;5;46.12
123;58;113;2;15;107.71
124;58;81;1;10;16.33
125;59;42;1;0;18.28
126;59;53;1;0;70.97
127;59;58;1;5;133.77
128;60;2;1;5;18.07
129;61;71;1;5;21.15
130;62;3;1;0;80.78
131;63;35;1;0;34.49
132;64;7;2;10;63.04
133;65;7;1;0;35.02
134;66;12;1;0;47.45
135;67;13;1;0;33.04
136;67;103;1;0;29.89
137;67;107;1;5;73.64
138;67;86;1;0;15.0
139;68;23;1;5;54.29
140;69;84;1;15;21.82
141;69;80;1;10;37.85
142;69;48;1;20;26.18
143;70;81;1;15;15.42
144;70;90;2;0;97.28
145;71;43;1;5;104.68
146;71;3;1;5;76.74
147;72;98;2;0;144.18
148;73;38;1;0;55.68
149;74;95;1;5;46.46
150;74;113;2;0;126.72
151;74;43;3;5;314.04
152;74;18;1;0;44.38
153;75;118;1;0;42.91
154;76;57;1;0;36.53
155;77;17;1;10;27.02
156;77;12;1;0;47.45
157;77;23;1;0;57.15
158;77;76;1;0;36.72
159;78;82;1;10;16.93
160;79;65;1;0;49.07
